name,address,suburb,state,postcode,type,places,rating,qa1,qa2,qa3,qa4,qa5,qa6,qa7,start_time,end_time,latitude,longitude
SchoolsOUT! Hesket Primary,"Hesket Primary School, 800 Romsey Rd",HESKET,VIC,3442,OSHC_A;OSHC_B,30,M,X,M,M,M,X,M,M,06:30,18:30,-37.34760096,144.61926274
Barnardos Early Learning Centre Ultimo,47-53 Jones Street,ULTIMO,NSW,2007,LDC,40,M,M,M,M,M,M,M,M,07:30,18:00,-33.87767912,151.19558703
Discovery Tree Kindergarten,545 Clayton Rd,CLAYTON SOUTH,VIC,3169,LDC,22,X,X,M,M,X,X,X,X,07:00,18:00,-37.9415557,145.11622029
Samson Kindergarten,44 McCombe Ave,SAMSON,WA,6163,OSHC_A;OSHC_B;OSHC_V;PKS,19,W,W,M,M,M,M,M,W,06:30,18:05,-32.07168503,115.80073753
Belonging Early Learning Hornsby,53-55 Clarke Road,HORNSBY,NSW,2077,LDC,100,M,M,M,M,M,M,M,M,07:00,18:00,-33.71291414,151.09583768
Our Lady of the Sacred Heart Outside School Hours Care,9 Bath St,ALICE SPRINGS,NT,0870,OSHC_A;OSHC_V,60,M,M,M,M,M,M,M,M,08:00,17:30,-23.69697852,133.88141912
Gumboots Early Learning Jacksons Hill,81 Belleview Dr,SUNBURY,VIC,3429,LDC,112,M,M,M,M,X,M,X,M,06:30,18:30,-37.59410019,144.72379847
SchoolsOUT! Keelonith Primary,1 Blossom Dr,GREENVALE,VIC,3059,OSHC_A;OSHC_B;OSHC_V,90,M,M,M,M,M,M,M,M,06:30,18:30,-37.62258427,144.88017682
LEAD Childcare Walloon,7001 Muller St,WALLOON,QLD,4306,LDC,136,M,M,M,M,M,M,M,M,06:00,18:00,-27.6044625,152.65613453
Camp Australia - North Harrisdale Primary School OSHC,100 Reilly Rd,HARRISDALE,WA,6112,OSHC_A;OSHC_B;OSHC_V,80,M,M,M,M,M,M,M,M,06:30,18:00,-32.11505991,115.93894513
Halls Head PS TheirCare,"Halls Head Primary School, 21 Oleander Pl",HALLS HEAD,WA,6210,OSHC_A;OSHC_B;OSHC_V,35,M,M,M,M,M,M,M,M,06:00,18:00,-32.55019834,115.69497484
Suncoast Little Learners,Cnr Kiel Mountain Road and Schubert Road,WOOMBYE,QLD,4559,LDC;OSHC_A;OSHC_B,96,M,M,M,M,X,X,M,M,06:45,17:45,-26.66426282,152.97738077
Sustainable Play Preschool,40 Nelson St,BARNSLEY,NSW,2278,LDC;PKS,47,M,M,M,M,M,M,M,M,07:30,18:00,-32.9278138,151.59423635
Camp Australia - Edgars Creek Primary School OSHC,"45 Macedon Pde, Edgars Creek Primary School",WOLLERT,VIC,3750,OSHC_A;OSHC_B;OSHC_V,60,M,M,M,M,M,M,M,M,06:45,18:30,-37.60937368,145.00368303
Aintree PS TheirCare,11 Timbertop Parade,AINTREE,VIC,3336,OSHC_A;OSHC_B;OSHC_V,75,M,M,M,M,M,M,M,M,06:30,18:00,-37.72340355,144.66614592
Scribbles and Giggles Childcare Centre Busby,87 St Johns Rd,BUSBY,NSW,2168,LDC,35,M,M,M,M,M,M,M,M,07:00,18:00,-33.90693383,150.88392088
Imagine Childcare and Kindergarten Coburg,311-321 Sydney Rd,COBURG,VIC,3058,LDC,115,M,M,M,M,M,M,M,M,06:30,18:30,-37.74623452,144.96554127
INSPIRE EARLY LEARNING JOURNEY CHADSTONE,1210 Dandenong Rd,MURRUMBEENA,VIC,3163,LDC,94,M,M,M,M,M,M,M,M,07:00,18:00,-37.88496156,145.06891816
Riverbend PS TheirCare,1 Communal Rd,WYNDHAM VALE,VIC,3024,OSHC_A;OSHC_B;OSHC_V,90,M,M,M,M,M,X,M,M,06:30,18:30,-37.8751751,144.62593494
"The Discovery Garden Early Education, Care and Preschool",160 Floraville Rd,FLORAVILLE,NSW,2280,LDC;OSHC_A;OSHC_B;OSHC_V,124,X,X,X,M,M,X,M,X,06:15,18:15,-33.0047268,151.66451366
Active OOSH Hallidays Point,300 Diamond Beach Rd,DIAMOND BEACH,NSW,2430,OSHC_A;OSHC_B;OSHC_V,75,X,X,M,M,M,X,X,X,06:30,18:30,-32.04145504,152.53636041
Fun Kids Punchbowl,"Punchbowl Public School, 1333 Canterbury Rd",PUNCHBOWL,NSW,2196,OSHC_A;OSHC_B;OSHC_V,30,M,M,M,M,M,M,M,M,07:00,18:00,-33.9305698,151.05594722
Genius Learning Pyrmont,21 Harris St,PYRMONT,NSW,2009,LDC,110,W,W,W,M,M,M,M,M,07:00,18:00,-33.86692064,151.19178407
In 2 Learn Traralgon South,13-19 Keith Morgan Dr,TRARALGON SOUTH,VIC,3844,OSHC_A;OSHC_B;OSHC_V,24,M,M,M,M,M,M,M,M,07:00,18:00,-38.29784937,146.54097329
Beachwood Frankston South Pty Ltd,105 Humphries Rd,FRANKSTON SOUTH,VIC,3199,LDC,100,X,X,X,X,X,X,X,X,06:30,18:30,-38.17693542,145.11092709
Gungahlin Montessori Academy,"Suite 1 Level 1 Gungahlin Market Place, 33 Hibberson St",GUNGAHLIN,ACT,2912,LDC,113,W,W,M,M,M,W,M,M,07:30,18:00,-35.18525154,149.13412388
Melton South Early School PTY LTD,98 Rees Rd,MELTON SOUTH,VIC,3338,LDC,57,M,M,M,M,M,M,M,M,06:30,18:30,-37.71238504,144.56312952
Ashfield PS TheirCare,65 Margaret Street,ASHFIELD,WA,6054,OSHC_A;OSHC_B;OSHC_V,26,M,M,M,M,M,M,M,M,07:00,18:00,-31.91530974,115.94090176
TeamKids - St Matthew's Primary - Page,Stutchbury St,PAGE,ACT,2614,OSHC_A;OSHC_B;OSHC_V,80,M,M,M,M,M,M,M,M,07:00,18:00,-35.23959627,149.04200999
Advanced Early Learning- Merrylands Rd,368 Merrylands Rd,MERRYLANDS,NSW,2160,LDC,80,M,M,M,M,M,M,M,M,07:00,18:00,-33.83459772,150.97869726
YMCA Siena OSHC,150 Eleanor Dr,LUCAS,VIC,3350,OSHC_A;OSHC_B,45,M,M,M,M,M,M,M,M,15:15,18:00,-37.54600106,143.78041257
Nido Early School Ellenbrook,26 Westbrook Parade,ELLENBROOK,WA,6069,LDC,87,M,M,M,M,M,M,M,M,06:30,18:30,-31.77402405,115.95919224
Young Academics Early Learning Centre Tallawong,3 Zissie St,TALLAWONG,NSW,2762,LDC,60,M,M,X,M,M,M,X,M,07:00,18:00,-33.69302412,150.88271697
Guardian Childcare & Education Richlands,144 Pine Rd,RICHLANDS,QLD,4077,LDC,140,M,M,M,M,M,M,M,M,06:30,18:30,-27.5946344,152.95025391
Camp Australia - Pine View Primary School OSHC,53 Regency Ave,BALDIVIS,WA,6171,OSHC_A;OSHC_B,100,M,M,M,M,M,M,M,M,06:30,18:00,-32.35953999,115.80687172
Toongabbie Montessori Academy,7 station Road,TOONGABBIE,NSW,2146,LDC,55,M,M,M,M,X,M,X,X,07:30,18:00,-33.78276243,150.95153154
Mansfield Community Cubby House OSHC,39 Malcolm St,MANSFIELD,VIC,3722,OSHC_A;OSHC_B;OSHC_V,30,M,M,M,M,M,M,M,M,06:30,17:30,-37.05817066,146.08797619
Rosary Out of School Hours Care,Fleming Street,WATSON,ACT,2602,OSHC_A;OSHC_B;OSHC_V,77,M,M,M,M,M,M,M,M,07:30,18:00,-35.24537958,149.15707076
Gibbs Street OSHClub,"Gibbs Street Primary School, 79-93 Gibbs St",EAST CANNINGTON,WA,6107,OSHC_A;OSHC_B;OSHC_V,60,M,M,M,M,M,M,M,M,06:30,18:00,-32.00835835,115.95375218
Gaayip-Yagila PS TheirCare,115 Blackmore Rd,MICKLEHAM,VIC,3064,OSHC_A;OSHC_B;OSHC_V,90,M,M,M,M,M,M,M,M,06:30,18:30,-37.52867941,144.90930118
Brabham OSHClub,31 Lakefield Drive,BRABHAM,WA,6055,OSHC_A;OSHC_B;OSHC_V,90,M,M,M,M,M,M,M,M,06:45,18:00,-31.82121032,115.97184006
Cubby OOSH at Whalan,1 Karangi Rd,WHALAN,NSW,2770,OSHC_A;OSHC_B;OSHC_V,30,M,M,M,M,M,M,M,M,07:00,18:00,-33.75224203,150.81072757
Kids Biz OSHC - St Joseph's,61 Boronia Dr,O'CONNOR,ACT,2602,OSHC_A;OSHC_B;OSHC_V,88,M,M,M,M,M,M,M,M,06:50,18:00,-35.25866612,149.12439577
Camp Australia - Penrith Public School OSHC,Cnr High Street & Doonmore Street,PENRITH,NSW,2750,OSHC_A;OSHC_B;OSHC_V,69,M,M,M,M,M,M,M,M,07:15,18:15,-33.75872967,150.70386656
Camp Australia - Carlingford Public School OSHC,"Carlingford Public School, 5 Rickard St",CARLINGFORD,NSW,2118,OSHC_A;OSHC_B;OSHC_V,116,M,M,M,M,M,M,M,M,07:00,18:00,-33.77939397,151.05458642
Evelyn Scott School - Preschool Unit,2 Bielski St,DENMAN PROSPECT,ACT,2611,PKP,45,E,X,X,X,X,X,X,X,09:00,15:00,-35.30702008,149.02671708
Kaleidoscope Kids Early Learning Centre Redbank,57 Brisbane Rd,REDBANK,QLD,4301,LDC,62,M,M,M,M,M,M,M,M,00:00,23:59,-27.60120176,152.86907817
North Perth OSHClub,"North Perth Primary School, 3 Albert St",NORTH PERTH,WA,6006,OSHC_A;OSHC_B,90,M,M,M,M,M,M,M,M,07:00,18:00,-31.93042377,115.85600416
Edge Early Learning Aldinga Beach - Rowley Rd,97-99 Rowley Rd,ALDINGA BEACH,SA,5173,LDC,115,M,M,M,M,M,M,M,M,06:30,18:30,-35.27433341,138.45841869
